Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location,Lat,Long
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,,,DOTHAN,AL,36301,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1108 ROSS CLARK CIRCLE
DOTHAN, AL 36301
(31.215378796000437, -85.36146587999968)",31.21537879600043,-85.36146587999968
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,,,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
(34.221335602000465, -86.15937513199964)",34.22133560200046,-86.15937513199964
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,,,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"205 MARENGO STREET
FLORENCE, AL 35631
(34.79503940800049, -87.68507476999969)",34.7950394080004,-87.68507476999969
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,,,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"702 N MAIN ST
OPP, AL 36467
(31.29215935500048, -86.25539886299964)",31.2921593550004,-86.25539886299964
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,,,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,Proprietary,FALSE,"101 HOSPITAL CIRCLE
LUVERNE, AL 36049
(31.69311576600046, -86.26549483099967)",31.6931157660004,-86.26549483099967
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,,,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"50 MEDICAL PARK EAST DRIVE
BIRMINGHAM, AL 35235
(33.595266248000485, -86.66531827399967)",33.59526624800048,-86.66531827399967
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,,,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,Proprietary,TRUE,"200 MED CENTER DRIVE
FORT PAYNE, AL 35968
(34.440607007000494, -85.75726760699968)",34.44060700700049,-85.75726760699968
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,,,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,"1000 FIRST STREET NORTH
ALABASTER, AL 35007
(33.25442996300046, -86.81407943599964)",33.2544299630004,-86.81407943599964
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,,,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"1720 UNIVERSITY BLVD
BIRMINGHAM, AL 35233
(33.50313956700046, -86.80242858299965)",33.5031395670004,-86.80242858299965
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,AL,35660,COLBERT,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1300 SOUTH MONTGOMERY AVENUE
SHEFFIELD, AL 35660
(34.74643473700047, -87.69893501699966)",34.7464347370004,-87.69893501699966
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,,,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"126 HOSPITAL AVE
OZARK, AL 36360
(31.45135110700045, -85.63094261099968)",31.4513511070004,-85.63094261099968
